x,y,v
-7.889977,4.981863,6.000
-7.840041,4.979635,6.000
-7.790104,4.977439,6.000
-7.740166,4.975272,6.000
-7.690228,4.973125,6.000
-7.640288,4.970990,6.000
-7.590349,4.968859,6.000
-7.540409,4.966722,6.000
-7.490471,4.964569,6.000
-7.440533,4.962389,6.000
-7.390598,4.960170,6.000
-7.340664,4.957901,6.000
-7.290734,4.955567,6.000
-7.240807,4.953157,6.000
-7.190884,4.950657,6.000
-7.140967,4.948053,6.000
-7.091056,4.945334,6.000
-7.041152,4.942488,6.000
-6.991256,4.939504,6.000
-6.941370,4.936373,6.000
-6.891492,4.933090,6.000
-6.841626,4.929650,6.000
-6.791771,4.926052,6.000
-6.741927,4.922299,6.000
-6.692094,4.918397,6.000
-6.642273,4.914355,6.000
-6.592462,4.910187,6.000
-6.542660,4.905910,6.000
-6.492866,4.901547,6.000
-6.443077,4.897120,6.000
-6.393292,4.892658,6.000
-6.343507,4.888190,6.000
-6.293720,4.883748,6.000
-6.243928,4.879362,6.000
-6.194128,4.875066,6.000
-6.144317,4.870892,6.000
-6.094494,4.866868,6.000
-6.044657,4.863024,6.000
-5.994805,4.859385,6.000
-5.944937,4.855972,6.000
-5.895052,4.852804,6.000
-5.845152,4.849894,6.000
-5.795237,4.847251,6.000
-5.745308,4.844880,6.000
-5.695367,4.842780,6.000
-5.645416,4.840949,6.000
-5.595456,4.839375,6.000
-5.545488,4.838047,6.000
-5.495515,4.836949,6.000
-5.445538,4.836060,6.000
-5.395558,4.835358,6.000
-5.345576,4.834819,6.000
-5.295593,4.834415,6.000
-5.245609,4.834120,6.000
-5.195624,4.833904,5.981
-5.145639,4.833739,5.963
-5.095654,4.833598,5.944
-5.045670,4.833452,5.925
-4.995685,4.833276,5.906
-4.945701,4.833046,5.887
-4.895716,4.832741,5.868
-4.845733,4.832343,5.848
-4.795751,4.831835,5.829
-4.745770,4.831207,5.810
-4.695790,4.830449,5.790
-4.645813,4.829557,5.771
-4.595839,4.828530,5.751
-4.545867,4.827369,5.732
-4.495899,4.826080,5.712
-4.445934,4.824671,5.692
-4.395972,4.823152,5.673
-4.346013,4.821536,5.653
-4.296057,4.819834,5.633
-4.246103,4.818063,5.613
-4.196152,4.816236,5.593
-4.146202,4.814367,5.573
-4.096253,4.812470,5.552
-4.046304,4.810559,5.532
-3.996356,4.808643,5.512
-3.946407,4.806735,5.491
-3.896458,4.804843,5.471
-3.846508,4.802974,5.450
-3.796557,4.801135,5.430
-3.746605,4.799331,5.409
-3.696651,4.797565,5.388
-3.646695,4.795841,5.367
-3.596739,4.794161,5.346
-3.546780,4.792525,5.325
-3.496821,4.790935,5.304
-3.446860,4.789390,5.283
-3.396897,4.787891,5.261
-3.346933,4.786434,5.240
-3.296968,4.785019,5.218
-3.247002,4.783643,5.197
-3.197035,4.782301,5.175
-3.147068,4.780990,5.153
-3.097099,4.779703,5.131
-3.047130,4.778434,5.109
-2.997161,4.777175,5.087
-2.947192,4.775919,5.065
-2.897223,4.774657,5.043
-2.847254,4.773379,5.021
-2.797286,4.772076,4.998
-2.747319,4.770739,4.976
-2.697353,4.769360,4.953
-2.647388,4.767930,4.930
-2.597425,4.766445,4.907
-2.547464,4.764898,4.884
-2.497505,4.763286,4.861
-2.447549,4.761608,4.838
-2.397594,4.759863,4.815
-2.347642,4.758054,4.791
-2.297692,4.756184,4.768
-2.247744,4.754259,4.744
-2.197798,4.752285,4.720
-2.147853,4.750269,4.696
-2.097911,4.748219,4.672
-2.047969,4.746142,4.648
-1.998028,4.744046,4.624
-1.948087,4.741939,4.600
-1.898147,4.739824,4.575
-1.848207,4.737708,4.551
-1.798266,4.735592,4.526
-1.748326,4.733480,4.501
-1.698386,4.731370,4.476
-1.648445,4.729263,4.451
-1.598505,4.727154,4.425
-1.548564,4.725042,4.400
-1.498624,4.722923,4.374
-1.448685,4.720793,4.348
-1.398746,4.718648,4.322
-1.348807,4.716486,4.296
-1.298870,4.714305,4.270
-1.248933,4.712104,4.244
-1.198998,4.709884,4.217
-1.149063,4.707648,4.190
-1.099128,4.705400,4.163
-1.049194,4.703144,4.136
-0.999260,4.700889,4.109
-0.949326,4.698643,4.082
-0.899390,4.696414,4.054
-0.849454,4.694211,4.026
-0.799516,4.692046,4.000
-0.749576,4.689926,4.000
-0.699633,4.687862,4.000
-0.649689,4.685859,4.000
-0.599741,4.683926,4.000
-0.549791,4.682065,4.000
-0.499837,4.680279,4.000
-0.449882,4.678569,4.000
-0.399924,4.676931,4.000
-0.349963,4.675361,4.000
-0.300001,4.673849,4.000
-0.250037,4.672387,4.000
-0.200073,4.670961,4.000
-0.150108,4.669555,4.000
-0.100142,4.668152,4.000
-0.050177,4.666733,4.000
-0.000214,4.665277,4.000
0.049748,4.663761,4.000
0.099708,4.662163,4.000
0.149664,4.660461,4.000
0.199615,4.658632,4.000
0.249561,4.656654,4.000
0.299500,4.654505,4.000
0.349430,4.652167,4.000
0.399350,4.649622,4.000
0.449259,4.646852,4.000
0.499153,4.643842,4.000
0.549031,4.640580,4.000
0.598892,4.637052,4.000
0.648732,4.633246,4.000
0.698549,4.629152,4.000
0.748340,4.624756,4.000
0.798103,4.620048,4.000
0.847833,4.615011,4.000
0.897528,4.609630,4.000
0.947182,4.603885,4.000
0.996789,4.597754,4.000
1.046344,4.591210,4.000
1.095838,4.584222,4.000
1.145262,4.576756,4.000
1.194605,4.568770,4.000
1.243853,4.560219,4.000
1.292991,4.551051,4.000
1.341962,4.541036,4.000
1.390792,4.530355,4.000
1.439387,4.518648,4.000
1.487714,4.505880,4.000
1.535686,4.491839,4.000
1.582953,4.475580,4.000
1.629785,4.458109,4.000
1.675951,4.438946,4.000
1.721295,4.417914,4.000
1.765613,4.394796,4.000
1.808650,4.369373,4.000
1.850659,4.342286,4.000
1.891701,4.313755,4.000
1.931612,4.283661,4.000
1.970104,4.251772,4.000
2.006855,4.217892,4.000
2.041866,4.182217,4.000
2.075204,4.144974,4.000
2.106789,4.106232,4.000
2.136407,4.065968,4.000
2.163790,4.024151,4.000
2.188872,3.980915,4.000
2.211813,3.936506,4.000
2.232742,3.891113,4.000
2.251629,3.844835,4.000
2.268231,3.797688,4.000
2.282350,3.749738,4.000
2.294256,3.701192,4.000
2.304245,3.652216,4.000
2.312483,3.602915,4.000
2.318869,3.553340,4.000
2.322775,3.503508,4.000
2.324140,3.453542,4.000
2.323342,3.403564,4.000
2.320895,3.353639,4.000
2.317503,3.303770,4.000
2.311624,3.254132,4.000
2.304569,3.204647,4.000
2.296808,3.155268,4.000
2.288440,3.105989,4.000
2.279555,3.056800,4.000
2.270236,3.007691,4.000
2.260561,2.958652,4.000
2.250600,2.909669,4.000
2.240421,2.860732,4.000
2.230086,2.811827,4.000
2.219656,2.762942,4.000
2.209187,2.714065,4.000
