x,y,v
-7.858497,5.689342,6.000
-7.808472,5.688498,6.000
-7.758450,5.687532,6.000
-7.708429,5.686449,6.000
-7.658412,5.685253,6.000
-7.608397,5.683948,6.000
-7.558385,5.682539,6.000
-7.508376,5.681030,6.000
-7.458370,5.679426,6.000
-7.408367,5.677731,6.000
-7.358367,5.675949,6.000
-7.308370,5.674085,6.000
-7.258376,5.672142,6.000
-7.208384,5.670126,6.000
-7.158396,5.668041,6.000
-7.108410,5.665891,6.000
-7.058427,5.663679,6.000
-7.008447,5.661412,6.000
-6.958469,5.659093,6.000
-6.908493,5.656725,6.000
-6.858519,5.654315,6.000
-6.808548,5.651865,6.000
-6.758578,5.649380,6.000
-6.708609,5.646865,6.000
-6.658642,5.644324,6.000
-6.608676,5.641761,6.000
-6.558710,5.639180,6.000
-6.508746,5.636586,6.000
-6.458782,5.633983,6.000
-6.408818,5.631375,6.000
-6.358854,5.628767,6.000
-6.308890,5.626163,6.000
-6.258926,5.623567,6.000
-6.208961,5.620983,6.000
-6.158995,5.618417,6.000
-6.109028,5.615871,6.000
-6.059059,5.613351,6.000
-6.009090,5.610861,6.000
-5.959118,5.608405,6.000
-5.909145,5.605987,6.000
-5.859169,5.603612,6.000
-5.809192,5.601284,6.000
-5.759212,5.599007,6.000
-5.709229,5.596786,6.000
-5.659244,5.594625,6.000
-5.609256,5.592528,6.000
-5.559265,5.590499,6.000
-5.509272,5.588544,6.000
-5.459275,5.586665,6.000
-5.409276,5.584868,6.000
-5.359273,5.583157,6.000
-5.309268,5.581536,6.000
-5.259259,5.580009,6.000
-5.209248,5.578581,6.000
-5.159233,5.577256,6.000
-5.109217,5.576029,6.000
-5.059198,5.574896,6.000
-5.009177,5.573852,6.000
-4.959154,5.572892,6.000
-4.909130,5.572011,6.000
-4.859105,5.571205,6.000
-4.809078,5.570470,6.000
-4.759051,5.569800,6.000
-4.709023,5.569190,6.000
-4.658994,5.568637,6.000
-4.608965,5.568134,6.000
-4.558935,5.567679,6.000
-4.508905,5.567265,6.000
-4.458874,5.566889,6.000
-4.408844,5.566545,6.000
-4.358813,5.566230,6.000
-4.308782,5.565937,5.983
-4.258751,5.565663,5.964
-4.208720,5.565403,5.945
-4.158689,5.565151,5.926
-4.108657,5.564904,5.907
-4.058626,5.564657,5.888
-4.008595,5.564405,5.869
-3.958564,5.564143,5.850
-3.908533,5.563867,5.830
-3.858502,5.563572,5.811
-3.808471,5.563253,5.792
-3.758440,5.562906,5.772
-3.708410,5.562525,5.753
-3.658380,5.562106,5.733
