t,v,obs_n,obs_d,obs_x,obs_y,obs_r,dyn_d,mode,scale,reason,fgm_en,fgm_ang,path_n,path_age,override,aeb,ttc,steer,cmd_v,scan_age,obs_age
0.182,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,,
0.203,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0537,0.0155
0.222,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0475,0.0163
0.242,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0426,0.0107
0.266,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0423,0.0102
0.281,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0326,0.0016
0.302,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0533,0.0223
0.322,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0471,0.0163
0.342,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0429,0.0106
0.361,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0372,0.0056
0.382,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0337,0.0051
0.401,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0269,0.0242
0.422,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0470,0.0169
0.442,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0408,0.0152
0.461,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0375,0.0057
0.482,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0273,0.0047
0.502,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0282,0.0254
0.522,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0475,0.0150
0.542,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0422,0.0135
0.561,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0363,0.0039
0.583,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0286,0.0010
0.601,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0262,0.0191
0.622,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0467,0.0188
0.642,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0424,0.0141
0.662,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0371,0.0041
0.681,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0321,0.0012
0.703,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0539,0.0230
0.722,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0467,0.0179
0.742,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0410,0.0138
0.761,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0351,0.0067
0.781,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0307,0.0036
0.803,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0526,0.0256
0.823,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0481,0.0095
0.842,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0397,0.0068
0.865,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0385,0.0294
0.882,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0312,0.0162
0.901,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0254,0.0155
0.922,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0456,0.0146
0.942,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0414,0.0135
0.961,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0356,0.0058
0.982,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0312,0.0006
1.003,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0539,0.0217
1.022,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0460,0.0141
1.042,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0404,0.0136
1.062,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0369,0.0007
1.082,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0281,0.0199
1.102,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0273,0.0200
1.122,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0464,0.0182
1.141,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0405,0.0010
1.162,0.000,0,,,,,,,1.000,,0,,0,,0,0,,0.00,0.00,0.0350,0.0212
