t,v,obs_n,obs_d,obs_x,obs_y,obs_r,raw_n,raw_d,raw_far,dyn_d,mode,scale,reason,fgm_en,fgm_ang,path_n,path_age,override,aeb,ttc,steer,cmd_v,scan_age,obs_age
0.066,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,,0.00,0.00,,
0.077,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
0.097,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
0.117,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
0.137,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
0.157,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
0.177,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
0.197,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
0.217,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
0.237,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
0.257,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
0.277,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
0.297,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
0.317,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
0.338,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
0.357,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
0.377,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
0.397,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
0.419,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
0.437,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
0.457,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
0.478,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
0.497,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
0.517,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
0.538,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
0.557,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
