x,y,v
-11.641266,5.627447,3.000
-11.691279,5.628779,3.000
-11.741297,5.629890,3.000
-11.791321,5.630764,3.000
-11.841348,5.631382,3.000
-11.891378,5.631715,3.000
-11.941408,5.631729,3.000
-11.991438,5.631381,3.000
-12.041463,5.630617,3.000
-12.091479,5.629379,3.000
-12.141478,5.627593,3.000
-12.191450,5.625179,3.000
-12.241383,5.622045,3.000
-12.291257,5.618090,3.000
-12.341048,5.613198,3.000
-12.390722,5.607236,3.000
-12.440193,5.599778,3.000
-12.489342,5.590429,3.000
-12.538105,5.579239,3.000
-12.586589,5.566895,3.000
-12.634561,5.552695,3.000
-12.681800,5.536221,3.000
-12.728080,5.517220,3.000
-12.773297,5.495811,3.000
-12.817576,5.472523,3.000
-12.860828,5.447380,3.000
-12.902831,5.420202,3.000
-12.943368,5.390883,3.000
-12.982242,5.359392,3.000
-13.019343,5.325830,3.000
-13.054690,5.290426,3.000
-13.088367,5.253429,3.000
-13.120436,5.215030,3.000
-13.150748,5.175231,3.000
-13.178891,5.133869,3.000
-13.204907,5.091136,3.000
-13.229107,5.047349,3.000
-13.251832,5.002778,3.000
-13.273376,4.957625,3.000
-13.293106,4.911651,3.000
-13.311131,4.864980,3.000
-13.327981,4.817873,3.000
-13.343775,4.770401,3.000
-13.358602,4.722618,3.000
-13.372540,4.674568,3.000
-13.385662,4.626289,3.000
-13.398034,4.577812,3.000
-13.409716,4.529164,3.000
-13.420759,4.480368,3.000
-13.431217,4.431442,3.000
-13.441137,4.382405,3.000
-13.450561,4.333269,3.000
-13.459526,4.284048,3.000
-13.468067,4.234752,3.000
-13.476217,4.185389,3.000
-13.484005,4.135968,3.000
-13.491459,4.086496,3.000
-13.498605,4.036978,3.000
-13.505466,3.987420,3.011
-13.512064,3.937826,3.057
-13.518418,3.888200,3.101
-13.524547,3.838546,3.145
-13.530466,3.788867,3.188
-13.536190,3.739164,3.231
-13.541730,3.689441,3.273
-13.547097,3.639699,3.250
-13.552300,3.589939,3.225
-13.557343,3.540163,3.201
-13.562232,3.490371,3.177
-13.566968,3.440565,3.152
-13.571553,3.390745,3.127
-13.575984,3.340910,3.102
-13.580256,3.291062,3.077
-13.584364,3.241200,3.051
-13.588300,3.191325,3.025
-13.592052,3.141435,3.000
-13.595606,3.091530,3.000
-13.598947,3.041611,3.000
-13.602056,2.991677,3.000
-13.604912,2.941727,3.000
-13.607490,2.891763,3.000
-13.609765,2.841784,3.000
-13.611707,2.791791,3.000
-13.613286,2.741785,3.000
-13.614469,2.691768,3.000
-13.615223,2.641743,3.000
-13.615514,2.591713,3.000
-13.615306,2.541683,3.000
-13.614565,2.491658,3.000
-13.613257,2.441644,3.000
-13.611349,2.391650,3.000
-13.608811,2.341684,3.000
-13.605612,2.291756,3.000
-13.601725,2.241877,3.000
-13.597127,2.192058,3.000
-13.591793,2.142313,3.000
-13.585702,2.092655,3.000
-13.578834,2.043098,3.000
-13.571169,1.993659,3.000
-13.562687,1.944353,3.000
-13.553367,1.895198,3.000
-13.543184,1.846216,3.000
-13.532110,1.797427,3.000
-13.520113,1.748857,3.000
-13.507152,1.700535,3.000
-13.493182,1.652495,3.000
-13.478149,1.604778,3.000
-13.461991,1.557430,3.000
-13.444636,1.510508,3.000
-13.426007,1.464077,3.000
-13.406019,1.418216,3.000
-13.384581,1.373015,3.000
-13.361602,1.328577,3.000
-13.336982,1.285029,3.000
-13.310601,1.242526,3.000
-13.282361,1.201234,3.000
-13.252269,1.161273,3.000
-13.220316,1.122785,3.000
-13.186513,1.085911,3.000
-13.150905,1.050778,3.000
-13.113565,1.017491,3.000
-13.074593,0.986130,3.000
-13.034096,0.956766,3.000
-12.992185,0.929456,3.000
-12.949047,0.904126,3.000
-12.904859,0.880674,3.000
-12.859769,0.859007,3.000
-12.813905,0.839026,3.000
-12.767387,0.820618,3.000
-12.720318,0.803667,3.000
-12.672788,0.788056,3.000
-12.624871,0.773671,3.000
-12.576633,0.760404,3.000
-12.528126,0.748158,3.000
-12.479392,0.736842,3.000
-12.430469,0.726379,3.000
-12.381383,0.716706,3.000
-12.332157,0.707767,3.000
-12.282811,0.699525,3.000
-12.233357,0.691951,3.000
-12.183807,0.685031,3.000
-12.134171,0.678764,3.000
-12.084456,0.673162,3.000
-12.034667,0.668249,3.000
-11.984812,0.664068,3.000
-11.934898,0.660675,3.000
-11.884933,0.658130,3.000
-11.834929,0.656509,3.000
-11.784904,0.655899,3.000
-11.734878,0.656403,3.000
-11.684879,0.658129,3.000
-11.634946,0.661196,3.000
-11.585124,0.665729,3.000
-11.535474,0.671855,3.000
-11.486067,0.679697,3.000
-11.436987,0.689375,3.000
-11.388331,0.700993,3.000
-11.340205,0.714642,3.000
-11.292725,0.730387,3.000
-11.246015,0.748285,3.000
-11.200208,0.768384,3.000
-11.155419,0.790657,3.000
-11.111708,0.814982,3.000
-11.069136,0.841248,3.000
-11.027742,0.869335,3.000
-10.987543,0.899110,3.000
-10.948535,0.930429,3.000
-10.910688,0.963144,3.000
-10.873958,0.997108,3.000
-10.838282,1.032180,3.000
-10.803590,1.068225,3.000
-10.769800,1.105118,3.000
-10.736829,1.142747,3.000
-10.704596,1.181008,3.000
-10.673013,1.219810,3.000
-10.641990,1.259060,3.000
-10.611441,1.298681,3.000
-10.581289,1.338605,3.000
-10.551461,1.378771,3.000
-10.521883,1.419123,3.000
-10.492490,1.459609,3.000
-10.463215,1.500181,3.000
-10.433995,1.540793,3.000
-10.404769,1.581399,3.000
-10.375474,1.621957,3.000
-10.346051,1.662421,3.000
-10.316436,1.702745,3.000
-10.286568,1.742882,3.000
-10.256382,1.782780,3.000
-10.225810,1.822383,3.000
-10.194782,1.861630,3.000
-10.163227,1.900453,3.000
-10.131071,1.938780,3.000
-10.098237,1.976527,3.000
-10.064650,2.013606,3.000
-10.030236,2.049917,3.000
-9.994924,2.085354,3.000
-9.958648,2.119803,3.000
-9.921351,2.153144,3.000
-9.882991,2.185253,3.000
-9.843535,2.216006,3.000
-9.802973,2.245283,3.000
-9.761308,2.272965,3.000
-9.718553,2.298933,3.000
-9.674742,2.323075,3.000
-9.629951,2.345346,3.000
-9.584276,2.365744,3.000
-9.537811,2.384275,3.000
-9.490653,2.400963,3.000
-9.442897,2.415857,3.000
-9.394636,2.429025,3.000
-9.345956,2.440553,3.000
-9.296937,2.450542,3.000
-9.247646,2.459096,3.000
-9.198144,2.466330,3.000
-9.148480,2.472355,3.000
-9.098694,2.477282,3.000
-9.048820,2.481219,3.000
-8.998883,2.484266,3.000
-8.948904,2.486519,3.000
-8.898898,2.488063,3.000
-8.848876,2.488979,3.000
-8.798847,2.489335,3.000
-8.748817,2.489197,3.000
-8.698789,2.488618,3.000
-8.648768,2.487647,3.000
-8.598755,2.486326,3.000
-8.548751,2.484692,3.000
-8.498757,2.482776,3.000
-8.448773,2.480605,3.000
-8.398800,2.478201,3.019
-8.348837,2.475586,3.064
-8.298886,2.472777,3.108
-8.248944,2.469790,3.152
-8.199012,2.466639,3.195
-8.149090,2.463339,3.237
-8.099178,2.459904,3.279
-8.049273,2.456347,3.321
-7.999377,2.452681,3.362
-7.949488,2.448918,3.402
-7.899605,2.445072,3.442
-7.849727,2.441156,3.482
-7.799855,2.437181,3.521
-7.749986,2.433158,3.559
-7.700120,2.429098,3.598
-7.650256,2.425011,3.635
-7.600394,2.420904,3.673
-7.550533,2.416785,3.710
-7.500672,2.412658,3.747
-7.450812,2.408527,3.783
-7.400952,2.404395,3.819
-7.351092,2.400262,3.855
-7.301233,2.396127,3.890
-7.251373,2.391989,3.925
-7.201514,2.387846,3.960
-7.151656,2.383692,3.994
-7.101799,2.379526,4.028
-7.051943,2.375342,4.062
-7.002089,2.371135,4.077
-6.952238,2.366903,4.058
-6.902389,2.362641,4.039
-6.852542,2.358346,4.019
-6.802699,2.354016,4.000
-6.752859,2.349649,3.980
-6.703023,2.345244,3.961
-6.653189,2.340801,3.941
-6.603359,2.336320,3.921
-6.553533,2.331804,3.901
-6.503709,2.327253,3.881
-6.453889,2.322671,3.861
-6.404071,2.318059,3.840
-6.354255,2.313420,3.820
-6.304442,2.308759,3.799
-6.254631,2.304076,3.779
-6.204821,2.299377,3.758
-6.155012,2.294663,3.737
-6.105205,2.289937,3.716
-6.055399,2.285202,3.695
-6.005593,2.280460,3.674
-5.955788,2.275714,3.652
-5.905983,2.270966,3.631
-5.856178,2.266216,3.609
