x,y,v
-11.971416,0.305840,1.776
-11.930639,0.276958,1.804
-11.889526,0.248555,1.831
-11.848098,0.220615,1.857
-11.806364,0.193134,1.884
-11.764335,0.166106,1.910
-11.722020,0.139528,1.935
-11.679430,0.113394,1.960
-11.636572,0.087700,1.985
-11.593456,0.062442,2.010
-11.550090,0.037616,2.034
-11.506482,0.013218,2.058
-11.462640,-0.010757,2.082
-11.418571,-0.034313,2.106
-11.374281,-0.057451,2.124
-11.329778,-0.080176,2.139
-11.285069,-0.102493,2.155
-11.240161,-0.124407,2.171
-11.195060,-0.145921,2.186
-11.149773,-0.167039,2.202
-11.104304,-0.187765,2.217
-11.058661,-0.208102,2.232
-11.012848,-0.228055,2.248
-10.966871,-0.247627,2.263
-10.920735,-0.266821,2.279
-10.874445,-0.285641,2.294
-10.828006,-0.304091,2.310
-10.781424,-0.322175,2.325
-10.734702,-0.339895,2.341
-10.687845,-0.357256,2.357
-10.640858,-0.374261,2.373
-10.593746,-0.390915,2.390
-10.546511,-0.407220,2.406
-10.499160,-0.423181,2.423
-10.451695,-0.438803,2.440
-10.404120,-0.454088,2.458
-10.356441,-0.469040,2.476
-10.308659,-0.483665,2.494
-10.260780,-0.497966,2.512
-10.212806,-0.511947,2.531
-10.164742,-0.525612,2.550
-10.116590,-0.538966,2.569
-10.068353,-0.552013,2.588
-10.020036,-0.564756,2.607
-9.971641,-0.577201,2.626
-9.923171,-0.589351,2.644
-9.874629,-0.601210,2.663
-9.826019,-0.612782,2.681
-9.777341,-0.624072,2.700
-9.728600,-0.635084,2.718
-9.679798,-0.645822,2.736
-9.630937,-0.656289,2.754
-9.582020,-0.666490,2.772
-9.533049,-0.676430,2.789
-9.484027,-0.686112,2.807
-9.434955,-0.695540,2.824
-9.385836,-0.704719,2.842
-9.336671,-0.713652,2.859
-9.287464,-0.722345,2.876
-9.238215,-0.730801,2.893
-9.188927,-0.739024,2.910
-9.139601,-0.747018,2.927
-9.090239,-0.754788,2.944
-9.040844,-0.762338,2.960
-8.991415,-0.769673,2.977
-8.941956,-0.776795,2.993
-8.892467,-0.783710,3.000
-8.842951,-0.790421,3.000
-8.793407,-0.796933,3.000
-8.743839,-0.803251,3.000
-8.694246,-0.809377,3.000
-8.644631,-0.815317,3.000
-8.594995,-0.821074,3.000
-8.545338,-0.826654,3.000
-8.495661,-0.832059,3.000
-8.445967,-0.837294,3.000
-8.396255,-0.842364,3.000
-8.346528,-0.847272,3.000
-8.296785,-0.852023,3.000
-8.247027,-0.856621,3.000
-8.197256,-0.861071,3.000
-8.147472,-0.865375,3.000
-8.097677,-0.869540,3.000
-8.047870,-0.873568,3.000
-7.998053,-0.877465,3.000
-7.948226,-0.881233,3.000
-7.898389,-0.884879,3.000
-7.848545,-0.888405,3.000
-7.798692,-0.891816,3.000
-7.748831,-0.895116,3.000
-7.698964,-0.898310,3.000
-7.649090,-0.901402,3.000
-7.599211,-0.904396,3.000
-7.549325,-0.907295,3.000
-7.499435,-0.910106,3.000
-7.449540,-0.912831,3.000
-7.399641,-0.915475,3.000
-7.349737,-0.918042,3.000
-7.299830,-0.920536,3.000
-7.249919,-0.922963,3.000
-7.200006,-0.925325,3.000
-7.150090,-0.927627,3.000
-7.100171,-0.929874,3.000
-7.050249,-0.932070,3.000
-7.000326,-0.934218,3.000
-6.950401,-0.936324,3.000
-6.900475,-0.938391,3.000
-6.850546,-0.940423,3.000
-6.800617,-0.942419,3.000
-6.750686,-0.944381,3.000
-6.700754,-0.946309,3.000
-6.650820,-0.948203,3.000
-6.600885,-0.950063,3.000
-6.550949,-0.951891,3.000
-6.501012,-0.953686,3.000
-6.451074,-0.955449,3.000
-6.401134,-0.957180,3.000
-6.351194,-0.958880,3.000
-6.301252,-0.960550,3.000
-6.251310,-0.962189,3.000
-6.201366,-0.963798,3.000
-6.151422,-0.965377,3.000
-6.101476,-0.966928,3.000
-6.051530,-0.968450,3.000
-6.001583,-0.969944,3.000
-5.951635,-0.971410,3.000
-5.901686,-0.972848,3.000
-5.851737,-0.974260,3.000
-5.801787,-0.975646,3.000
-5.751836,-0.977005,3.000
-5.701884,-0.978339,3.000
-5.651932,-0.979647,3.000
-5.601979,-0.980931,3.000
-5.552025,-0.982190,3.000
-5.502071,-0.983426,3.000
-5.452116,-0.984638,3.000
-5.402161,-0.985827,3.000
-5.352205,-0.986993,3.000
-5.302249,-0.988138,3.000
-5.252292,-0.989260,3.000
-5.202335,-0.990362,3.000
-5.152377,-0.991442,3.000
-5.102419,-0.992502,3.000
-5.052460,-0.993542,3.000
-5.002501,-0.994562,3.000
-4.952542,-0.995564,3.000
-4.902582,-0.996546,3.000
-4.852622,-0.997510,3.000
-4.802661,-0.998457,3.000
-4.752701,-0.999386,3.000
-4.702740,-1.000298,3.000
-4.652778,-1.001193,3.000
-4.602816,-1.002072,3.000
-4.552854,-1.002936,3.000
-4.502892,-1.003784,3.000
-4.452930,-1.004618,3.000
-4.402967,-1.005437,3.000
-4.353004,-1.006242,3.000
-4.303041,-1.007033,3.000
-4.253077,-1.007812,3.000
-4.203114,-1.008577,3.000
-4.153150,-1.009331,3.000
-4.103186,-1.010073,3.000
-4.053222,-1.010803,3.000
-4.003258,-1.011522,3.000
-3.953293,-1.012231,3.000
-3.903329,-1.012929,3.000
-3.853364,-1.013618,3.000
-3.803399,-1.014298,3.000
-3.753434,-1.014969,3.000
-3.703469,-1.015632,3.000
-3.653504,-1.016286,3.000
-3.603539,-1.016933,3.000
-3.553574,-1.017574,3.000
-3.503608,-1.018207,3.000
-3.453643,-1.018834,3.000
-3.403677,-1.019456,3.000
-3.353712,-1.020072,3.000
-3.303746,-1.020683,3.000
-3.253780,-1.021290,3.000
-3.203814,-1.021892,3.000
-3.153848,-1.022491,3.000
-3.103883,-1.023087,3.000
-3.053917,-1.023680,3.000
-3.003951,-1.024271,3.000
-2.953985,-1.024860,3.000
-2.904019,-1.025447,3.000
-2.854053,-1.026034,3.000
-2.804087,-1.026619,3.000
-2.754121,-1.027205,3.000
-2.704155,-1.027791,3.000
-2.654189,-1.028378,3.000
-2.604223,-1.028965,2.997
-2.554257,-1.029555,2.988
-2.504291,-1.030146,2.978
-2.454325,-1.030740,2.969
-2.404359,-1.031336,2.960
-2.354393,-1.031936,2.950
-2.304427,-1.032540,2.940
-2.254462,-1.033148,2.931
-2.204496,-1.033760,2.921
-2.154530,-1.034377,2.912
-2.104565,-1.035000,2.902
-2.054599,-1.035628,2.892
-2.004634,-1.036261,2.883
-1.954668,-1.036893,2.873
-1.904703,-1.037518,2.863
-1.854737,-1.038129,2.853
-1.804771,-1.038721,2.843
-1.754805,-1.039288,2.833
-1.704838,-1.039825,2.823
-1.654872,-1.040324,2.813
-1.604904,-1.040781,2.803
-1.554936,-1.041190,2.793
-1.504968,-1.041544,2.783
-1.455000,-1.041837,2.773
-1.405031,-1.042065,2.763
-1.355062,-1.042220,2.753
-1.305092,-1.042298,2.743
-1.255123,-1.042292,2.732
-1.205153,-1.042197,2.722
-1.155184,-1.042006,2.712
-1.105216,-1.041714,2.701
-1.055248,-1.041315,2.691
-1.005281,-1.040802,2.680
-0.955316,-1.040171,2.670
-0.905352,-1.039415,2.659
-0.855390,-1.038529,2.649
-0.805431,-1.037506,2.638
-0.755475,-1.036342,2.627
-0.705523,-1.035029,2.617
-0.655575,-1.033563,2.606
-0.605632,-1.031938,2.595
-0.555695,-1.030147,2.584
-0.505764,-1.028187,2.573
-0.455840,-1.026050,2.562
-0.405925,-1.023731,2.551
-0.356018,-1.021226,2.540
-0.306122,-1.018527,2.529
-0.256236,-1.015631,2.518
-0.206363,-1.012530,2.507
-0.156503,-1.009221,2.496
-0.106658,-1.005696,2.485
-0.056829,-1.001950,2.473
-0.007018,-0.997978,2.462
0.042774,-0.993775,2.450
0.092546,-0.989333,2.439
0.142295,-0.984649,2.427
0.192021,-0.979716,2.416
0.241720,-0.974528,2.404
0.291391,-0.969080,2.392
0.341033,-0.963363,2.381
0.390642,-0.957376,2.369
0.440217,-0.951111,2.357
0.489756,-0.944564,2.345
0.539256,-0.937728,2.333
0.588714,-0.930600,2.321
0.638129,-0.923173,2.309
0.687496,-0.915441,2.296
0.736815,-0.907401,2.284
0.786081,-0.899045,2.272
0.835291,-0.890371,2.259
0.884444,-0.881371,2.247
0.933534,-0.872041,2.234
0.982560,-0.862377,2.222
1.031518,-0.852372,2.209
1.080403,-0.842021,2.196
1.129214,-0.831320,2.183
1.177945,-0.820264,2.171
1.226592,-0.808847,2.158
1.275153,-0.797065,2.144
1.323622,-0.784912,2.131
1.371995,-0.772384,2.118
1.420269,-0.759475,2.105
1.468437,-0.746182,2.091
1.516497,-0.732499,2.078
1.564442,-0.718421,2.064
1.612269,-0.703945,2.051
1.659971,-0.689064,2.037
1.707544,-0.673775,2.023
1.754982,-0.658073,2.009
1.802280,-0.641952,1.995
1.849432,-0.625409,1.981
1.896431,-0.608437,1.967
1.943271,-0.591034,1.952
1.989947,-0.573193,1.938
2.036452,-0.554910,1.923
2.082779,-0.536181,1.909
2.128920,-0.517001,1.894
2.174870,-0.497365,1.879
2.220620,-0.477268,1.864
2.266163,-0.456707,1.849
2.311492,-0.435676,1.834
2.356597,-0.414172,1.818
2.401471,-0.392189,1.803
2.446106,-0.369723,1.787
2.490492,-0.346770,1.771
2.534620,-0.323326,1.755
2.578481,-0.299386,1.739
2.622066,-0.274945,1.723
2.665363,-0.249999,1.707
2.708363,-0.224544,1.690
2.751054,-0.198575,1.673
2.793425,-0.172087,1.656
2.835465,-0.145076,1.639
2.877160,-0.117536,1.622
2.918498,-0.089462,1.605
2.959465,-0.060850,1.587
3.000046,-0.031694,1.569
3.040227,-0.001987,1.551
3.079989,0.028277,1.533
3.119316,0.059105,1.515
3.158187,0.090505,1.496
3.196581,0.122487,1.477
3.234474,0.155061,1.458
3.271838,0.188240,1.438
3.308642,0.222039,1.419
3.344850,0.256477,1.399
3.380418,0.291574,1.379
3.415295,0.327360,1.358
3.449420,0.363861,1.337
3.482709,0.401128,1.316
3.515061,0.439210,1.294
3.546414,0.478120,1.275
3.576691,0.517872,1.258
3.605677,0.558576,1.246
3.633198,0.600283,1.237
3.659358,0.642858,1.232
3.684061,0.686294,1.230
3.707334,0.730512,1.232
3.729260,0.775415,1.237
3.749868,0.820937,1.244
3.769110,0.867053,1.253
3.787068,0.913684,1.265
3.803844,0.960753,1.277
3.819464,1.008218,1.290
3.833946,1.056043,1.304
3.847303,1.104194,1.318
3.859547,1.152640,1.331
3.870696,1.201350,1.343
3.880765,1.250294,1.354
3.889764,1.299447,1.364
3.897699,1.348782,1.373
3.904575,1.398276,1.380
3.910396,1.447906,1.386
3.915167,1.497647,1.390
3.918840,1.547481,1.393
3.921463,1.597381,1.395
3.923040,1.647326,1.395
3.923571,1.697293,1.393
3.923056,1.747259,1.390
3.921493,1.797204,1.385
3.918877,1.847105,1.378
3.915202,1.896939,1.369
3.910463,1.946684,1.358
3.904658,1.996315,1.344
3.897777,2.045808,1.328
3.889810,2.095138,1.307
3.880744,2.144278,1.286
3.870564,2.193200,1.263
3.859251,2.241872,1.241
3.846780,2.290260,1.218
3.833047,2.338305,1.195
3.818047,2.385970,1.171
3.801720,2.433197,1.148
3.784027,2.479929,1.128
3.764923,2.526102,1.109
3.744277,2.571607,1.094
3.721932,2.616302,1.082
3.697625,2.659961,1.074
3.671305,2.702437,1.070
3.642975,2.743600,1.070
3.612689,2.783345,1.074
3.580299,2.821396,1.082
3.546358,2.858068,1.094
3.511021,2.893399,1.109
3.474476,2.927479,1.129
3.436869,2.960383,1.151
3.398207,2.992040,1.176
3.358692,3.022626,1.204
3.318416,3.052202,1.232
3.277438,3.080799,1.262
